tileswide 25
tileshigh 20
tilewidth 32
tileheight 32

layer 0
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,23,22,
9,9,9,9,9,4,9,9,7,9,9,1,5,9,9,2,9,9,9,4,9,9,9,23,22,
9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,7,9,9,9,2,15,11,22,
9,7,9,9,9,9,9,9,9,9,9,9,6,9,8,9,9,9,9,9,9,9,23,22,22,
9,9,9,9,1,5,9,9,9,9,4,9,9,9,9,9,9,9,9,2,9,15,11,22,22,
9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,5,9,6,9,9,9,23,22,22,22,
9,2,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,23,22,22,22,
9,9,5,9,8,9,9,9,9,9,6,9,9,9,9,9,8,9,9,9,9,23,22,22,22,
9,9,9,9,9,9,9,9,1,8,9,9,2,9,9,9,9,9,9,6,9,23,22,22,22,
9,9,4,9,9,9,9,9,9,9,9,9,9,9,3,9,9,9,9,9,15,11,22,22,22,
9,9,9,9,21,9,9,9,9,9,9,9,9,5,1,9,9,9,9,9,23,22,22,22,22,
9,9,9,9,9,9,6,9,9,2,9,9,9,9,9,9,9,9,9,9,23,22,22,22,22,
9,9,9,9,9,9,9,9,9,5,9,7,9,9,9,9,9,9,15,10,11,22,22,22,22,
9,9,9,1,9,9,9,9,4,9,9,9,9,9,9,4,9,9,23,22,22,22,22,22,22,
9,9,9,9,9,9,9,9,9,9,9,3,9,9,9,9,9,9,23,22,22,22,22,22,22,
9,3,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,15,11,22,22,22,22,22,22,
9,9,9,9,9,9,9,2,9,9,1,9,9,9,9,9,9,23,22,22,22,22,22,22,22,
9,9,8,9,9,9,9,9,9,9,9,9,9,8,9,9,9,23,22,22,22,22,22,22,22,
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,23,22,22,22,22,22,22,22,
9,9,9,9,9,4,9,9,9,9,9,9,9,9,9,9,9,23,22,22,22,22,22,22,22,

